experiment_id,model_id,num_records,num_categories,num_subcategories,num_games,dist_min,dist_mean,dist_max,dist_stdev,avg_path_length,num_edges,num_nodes,recall,precision,f1,num_hallucinations,edit_dist_experiment,edit_dist_model
Comb_List_SpecifyEx_T1_00654f,claude-haiku-4-5-20251001,1,4.0,11.667,41.667,3.0,12.667,22.333,11.95,3.0,57.333,58.333,0.992,1.0,0.996,0.0,,30.0
Comb_List_SpecifyEx_T1_00654f,claude-opus-4-6,1,5.0,9.667,42.0,2.0,8.633,16.333,6.45,3.173,59.0,60.0,1.0,1.0,1.0,0.0,,26.0
Comb_List_SpecifyEx_T1_00654f,claude-sonnet-4-6,1,5.667,12.667,42.0,1.0,7.6,15.667,5.567,2.947,60.333,61.333,1.0,1.0,1.0,0.0,,24.333
Comb_List_SpecifyEx_T1_00654f,gpt-5.4-2026-03-05,1,5.333,6.0,40.0,14.333,17.483,23.0,3.097,2.99,55.667,56.667,1.0,1.0,1.0,0.0,,22.333
Comb_List_SpecifyEx_T1_00654f,gpt-5.4-mini-2026-03-17,1,7.0,0.0,41.667,0.0,6.763,14.333,6.54,2.0,48.667,49.667,1.0,1.0,1.0,0.0,,19.667
Comb_List_SpecifyEx_T1_00654f,gpt-5.4-nano-2026-03-17,1,10.333,0.0,35.0,0.333,3.423,10.0,3.273,2.0,45.333,46.333,0.992,1.0,0.996,0.0,,31.667
Comb_List_SpecifyEx_T1_00654f,models/gemini-2.5-flash,1,3.667,8.667,41.333,6.0,11.473,17.0,5.487,3.66,63.0,64.0,0.984,1.0,0.992,0.0,,26.333
Comb_List_SpecifyEx_T1_00654f,models/gemini-2.5-flash-lite,1,2.667,7.333,40.667,17.0,21.527,26.333,4.317,3.333,53.667,54.667,0.968,1.0,0.984,0.0,,28.0
Comb_List_SpecifyEx_T1_00654f,models/gemini-2.5-pro,1,5.333,5.667,42.0,4.0,7.933,12.0,3.167,2.563,53.0,54.0,1.0,1.0,1.0,0.0,,24.0
