experiment_id,model_id,num_records,num_categories,num_subcategories,num_games,dist_min,dist_mean,dist_max,dist_stdev,avg_path_length,num_edges,num_nodes,recall,precision,f1,num_hallucinations,edit_dist_experiment,edit_dist_model
Comb_Rules_SpecifyExCats_T0_247684,claude-haiku-4-5-20251001,1,7.0,0.0,42.0,2.0,6.0,9.0,2.547,2.0,49.0,50.0,1.0,1.0,1.0,0.0,39.0,4.667
Comb_Rules_SpecifyExCats_T0_247684,claude-opus-4-6,1,7.0,0.0,42.0,3.0,6.0,10.667,2.64,2.0,49.0,50.0,1.0,1.0,1.0,0.0,39.0,4.0
Comb_Rules_SpecifyExCats_T0_247684,claude-sonnet-4-6,1,7.0,0.0,42.0,1.667,6.0,12.0,3.51,2.0,49.0,50.0,1.0,1.0,1.0,0.0,39.0,11.333
Comb_Rules_SpecifyExCats_T0_247684,gpt-5.4-2026-03-05,1,6.667,0.0,40.667,1.333,6.11,12.0,3.62,2.0,47.333,48.333,1.0,1.0,1.0,0.0,37.667,7.667
Comb_Rules_SpecifyExCats_T0_247684,gpt-5.4-mini-2026-03-17,1,6.333,0.0,42.0,1.0,6.667,12.667,4.207,2.0,48.333,49.333,1.0,1.0,1.0,0.0,39.0,11.667
Comb_Rules_SpecifyExCats_T0_247684,gpt-5.4-nano-2026-03-17,1,7.0,0.0,42.0,0.0,6.0,18.0,7.117,2.0,49.0,50.0,1.0,1.0,1.0,0.0,39.0,16.667
Comb_Rules_SpecifyExCats_T0_247684,models/gemini-2.5-flash,1,7.0,0.0,42.0,1.667,6.0,12.667,3.837,2.0,49.0,50.0,1.0,1.0,1.0,0.0,39.0,8.667
Comb_Rules_SpecifyExCats_T0_247684,models/gemini-2.5-flash-lite,1,7.0,0.0,42.0,1.0,6.0,19.0,6.0,2.0,49.0,50.0,1.0,1.0,1.0,0.0,37.0,1.0
Comb_Rules_SpecifyExCats_T0_247684,models/gemini-2.5-pro,1,7.0,0.0,42.0,1.667,6.0,13.333,4.107,2.0,49.0,50.0,1.0,1.0,1.0,0.0,39.0,8.667
