experiment_id,model_id,num_records,num_categories,num_subcategories,num_games,dist_min,dist_mean,dist_max,dist_stdev,avg_path_length,num_edges,num_nodes,recall,precision,f1,num_hallucinations,edit_dist_experiment,edit_dist_model
Comb_List_SpecifyEx_T0_00654f,claude-haiku-4-5-20251001,1,4.667,11.667,42.0,4.0,9.1,14.333,4.227,3.0,58.333,59.333,1.0,1.0,1.0,0.0,40.0,19.333
Comb_List_SpecifyEx_T0_00654f,claude-opus-4-6,1,5.667,10.0,42.0,1.333,7.467,18.667,6.903,2.897,57.667,58.667,1.0,1.0,1.0,0.0,40.0,19.0
Comb_List_SpecifyEx_T0_00654f,claude-sonnet-4-6,1,5.0,9.0,42.0,1.667,8.4,16.333,5.897,2.883,56.0,57.0,1.0,1.0,1.0,0.0,40.0,17.0
Comb_List_SpecifyEx_T0_00654f,gpt-5.4-2026-03-05,1,6.667,17.0,42.0,0.333,6.333,18.333,6.193,3.0,65.667,66.667,1.0,1.0,1.0,0.0,40.0,31.667
Comb_List_SpecifyEx_T0_00654f,gpt-5.4-mini-2026-03-17,1,7.0,0.0,41.667,0.0,6.027,14.333,6.503,2.0,48.667,49.667,0.992,1.0,0.996,0.0,39.667,10.667
Comb_List_SpecifyEx_T0_00654f,gpt-5.4-nano-2026-03-17,1,9.667,0.0,41.667,0.0,4.323,11.0,4.29,2.0,51.333,52.333,0.992,1.0,0.996,0.0,39.667,19.333
Comb_List_SpecifyEx_T0_00654f,models/gemini-2.5-flash,1,1.333,3.333,42.0,32.0,35.0,38.0,4.243,4.0,56.333,57.333,1.0,1.0,1.0,0.0,39.333,17.0
Comb_List_SpecifyEx_T0_00654f,models/gemini-2.5-flash-lite,1,4.0,11.0,41.0,7.0,10.25,16.0,3.95,3.0,56.0,57.0,0.976,1.0,0.988,0.0,39.0,2.0
Comb_List_SpecifyEx_T0_00654f,models/gemini-2.5-pro,1,4.667,8.333,41.667,4.667,9.033,13.667,3.783,2.89,54.667,55.667,0.992,1.0,0.996,0.0,39.667,23.333
