experiment_id,model_id,num_records,num_categories,num_subcategories,num_games,dist_min,dist_mean,dist_max,dist_stdev,avg_path_length,num_edges,num_nodes,recall,precision,f1,num_hallucinations,edit_dist_experiment,edit_dist_model
Comb_List_SpecifyExCats_T1_00654f,claude-haiku-4-5-20251001,1,7.0,0.0,41.667,2.667,5.953,9.667,2.627,2.0,48.667,49.667,0.992,0.992,0.992,0.333,39.667,18.333
Comb_List_SpecifyExCats_T1_00654f,claude-opus-4-6,1,7.0,0.0,42.0,2.667,6.0,10.0,2.62,2.0,49.0,50.0,1.0,1.0,1.0,0.0,40.0,12.333
Comb_List_SpecifyExCats_T1_00654f,claude-sonnet-4-6,1,7.0,0.0,42.0,1.333,6.0,10.333,3.28,2.0,49.0,50.0,1.0,1.0,1.0,0.0,40.0,15.333
Comb_List_SpecifyExCats_T1_00654f,gpt-5.4-2026-03-05,1,5.0,0.0,33.0,3.333,6.6,13.333,4.08,2.0,38.0,39.0,0.992,1.0,0.996,0.0,31.0,14.667
Comb_List_SpecifyExCats_T1_00654f,gpt-5.4-mini-2026-03-17,1,6.667,0.0,41.0,0.667,6.167,11.0,3.82,2.0,47.667,48.667,1.0,0.992,0.996,0.333,39.0,24.667
Comb_List_SpecifyExCats_T1_00654f,gpt-5.4-nano-2026-03-17,1,7.0,0.0,41.333,0.333,5.907,17.333,6.72,2.0,48.333,49.333,0.984,1.0,0.992,0.0,39.333,22.667
Comb_List_SpecifyExCats_T1_00654f,models/gemini-2.5-flash,1,7.0,0.0,42.0,3.0,6.0,9.667,2.29,2.0,49.0,50.0,1.0,1.0,1.0,0.0,40.0,21.667
Comb_List_SpecifyExCats_T1_00654f,models/gemini-2.5-flash-lite,1,7.0,0.0,41.667,2.667,5.953,16.0,5.08,2.0,48.667,49.667,0.992,1.0,0.996,0.0,39.667,27.333
Comb_List_SpecifyExCats_T1_00654f,models/gemini-2.5-pro,1,7.0,0.0,41.667,2.667,5.953,11.333,3.13,2.0,48.667,49.667,1.0,1.0,1.0,0.0,39.667,20.333
