experiment_id,model_id,num_records,num_categories,num_subcategories,num_games,dist_min,dist_mean,dist_max,dist_stdev,avg_path_length,num_edges,num_nodes,recall,precision,f1,num_hallucinations,edit_dist_experiment,edit_dist_model
Comb_Rules_Basic_T1_247684,claude-haiku-4-5-20251001,1,7.667,14.333,41.667,1.0,5.583,11.667,3.897,2.97,63.667,64.667,0.992,1.0,0.996,0.0,,27.0
Comb_Rules_Basic_T1_247684,claude-opus-4-6,1,6.667,16.0,42.0,1.0,6.333,15.333,4.913,2.937,64.667,65.667,1.0,1.0,1.0,0.0,,23.0
Comb_Rules_Basic_T1_247684,claude-sonnet-4-6,1,7.0,21.0,42.0,2.333,6.083,10.333,3.343,3.0,70.0,71.0,1.0,1.0,1.0,0.0,,26.333
Comb_Rules_Basic_T1_247684,gpt-5.4-2026-03-05,1,1.0,7.333,42.0,42.0,42.0,42.0,0.0,3.993,71.667,72.667,1.0,1.0,1.0,0.0,,27.333
Comb_Rules_Basic_T1_247684,gpt-5.4-mini-2026-03-17,1,8.667,12.0,41.333,0.667,4.933,18.333,6.553,2.643,62.0,63.0,0.984,1.0,0.992,0.0,,29.0
Comb_Rules_Basic_T1_247684,gpt-5.4-nano-2026-03-17,1,8.0,2.333,41.0,1.0,5.167,12.333,4.143,2.167,64.667,65.667,0.976,0.984,0.98,0.667,,21.0
Comb_Rules_Basic_T1_247684,models/gemini-2.5-flash,1,5.0,13.0,41.0,2.667,8.2,16.333,5.34,2.983,59.0,60.0,0.976,0.992,0.984,0.333,,24.333
Comb_Rules_Basic_T1_247684,models/gemini-2.5-flash-lite,1,4.0,20.333,40.333,14.0,20.057,32.667,7.153,3.657,65.333,66.333,0.976,1.0,0.988,0.0,,37.333
Comb_Rules_Basic_T1_247684,models/gemini-2.5-pro,1,6.0,10.667,41.667,3.0,7.54,13.0,3.853,2.83,58.333,59.333,1.0,1.0,1.0,0.0,,19.0
