model_id,num_records,num_categories,num_subcategories,num_games,dist_min,dist_mean,dist_max,dist_stdev,avg_path_length,num_edges,num_nodes,recall,precision,f1,num_hallucinations,edit_dist_experiment,edit_dist_model
claude-haiku-4-5-20251001,12,5.9722,7.6112,41.8613,2.5556,7.5854,13.2777,4.5343,2.7069,56.3612,57.3612,0.9973,0.9993,0.9983,0.0278,39.0668,18.0001
claude-opus-4-6,12,6.2501,8.8888,42.0,1.7777,6.9763,14.2779,4.8994,2.7028,58.5557,59.5557,1.0,1.0,1.0,0.0,39.2,18.1389
claude-sonnet-4-6,12,6.8056,12.0834,42.0,1.5277,6.3807,11.9444,3.9144,2.6477,61.0556,62.0556,1.0,1.0,1.0,0.0,39.2,22.2498
gpt-5.4-2026-03-05,12,4.75,6.9167,39.0278,13.4998,16.8505,22.75,3.4342,2.8978,56.7223,57.7223,0.9987,1.0,0.9993,0.0,35.8666,20.1213
gpt-5.4-mini-2026-03-17,12,7.8334,2.8888,41.5001,2.5001,7.6311,16.5277,5.3437,2.205,53.9723,54.9723,0.9907,0.9987,0.9946,0.0555,38.9334,19.6946
gpt-5.4-nano-2026-03-17,12,8.7778,1.8333,38.5833,0.2777,4.6878,13.4723,4.7923,1.9817,49.9723,50.9723,0.9503,0.967,0.9581,0.2223,38.2666,23.4848
models/gemini-2.5-flash,12,4.9167,5.8333,39.3055,5.6111,10.1858,16.3057,4.5647,2.845,52.1944,53.1944,0.9867,0.9973,0.992,0.1111,39.0666,18.4722
models/gemini-2.5-flash-lite,12,4.8334,6.5,40.8333,7.6667,12.8987,21.1112,5.8686,2.7878,53.0278,54.0278,0.9801,1.0,0.9898,0.0,37.7334,15.6667
models/gemini-2.5-pro,12,5.8611,5.5832,41.5002,3.2223,7.353,12.8332,3.7187,2.4994,52.9445,53.9445,0.994,0.9953,0.9946,0.1945,39.0668,17.9999
