experiment_id,model_id,num_records,num_categories,num_subcategories,num_games,dist_min,dist_mean,dist_max,dist_stdev,avg_path_length,num_edges,num_nodes,recall,precision,f1,num_hallucinations,edit_dist_experiment,edit_dist_model
Comb_Rules_Basic_T0_247684,claude-haiku-4-5-20251001,1,7.333,12.667,41.667,1.0,5.703,14.0,4.42,2.943,61.667,62.667,1.0,1.0,1.0,0.0,,15.667
Comb_Rules_Basic_T0_247684,claude-opus-4-6,1,6.0,19.0,42.0,2.0,7.133,15.667,5.097,3.087,69.667,70.667,1.0,1.0,1.0,0.0,,25.667
Comb_Rules_Basic_T0_247684,claude-sonnet-4-6,1,7.333,23.667,42.0,2.333,5.75,11.0,3.133,2.993,73.0,74.0,1.0,1.0,1.0,0.0,,25.0
Comb_Rules_Basic_T0_247684,gpt-5.4-2026-03-05,1,1.0,7.0,42.0,42.0,42.0,42.0,0.0,4.0,67.667,68.667,1.0,1.0,1.0,0.0,,25.0
Comb_Rules_Basic_T0_247684,gpt-5.4-mini-2026-03-17,1,8.0,15.333,40.667,12.667,17.723,29.333,5.67,3.167,85.0,86.0,0.968,1.0,0.983,0.0,,31.0
Comb_Rules_Basic_T0_247684,gpt-5.4-nano-2026-03-17,1,9.0,3.0,35.667,0.333,3.963,11.667,3.97,2.28,47.667,48.667,1.0,1.0,1.0,0.0,,23.333
Comb_Rules_Basic_T0_247684,models/gemini-2.5-flash,1,4.0,11.0,21.0,2.0,5.25,9.0,3.3,3.0,36.0,37.0,0.976,1.0,0.988,0.0,,6.0
Comb_Rules_Basic_T0_247684,models/gemini-2.5-flash-lite,1,1.0,6.0,38.0,38.0,38.0,38.0,0.0,3.0,45.0,46.0,0.905,1.0,0.95,0.0,,3.0
Comb_Rules_Basic_T0_247684,models/gemini-2.5-pro,1,5.0,13.333,41.667,2.0,8.333,15.0,5.02,2.95,60.0,61.0,0.992,1.0,0.996,0.0,,18.333
