experiment_id,model_id,num_records,num_categories,num_subcategories,num_games,dist_min,dist_mean,dist_max,dist_stdev,avg_path_length,num_edges,num_nodes,recall,precision,f1,num_hallucinations,edit_dist_experiment,edit_dist_model
Comb_Rules_SpecifyEx_T0_247684,claude-haiku-4-5-20251001,1,4.667,9.667,42.0,2.0,9.1,17.333,7.073,2.967,56.333,57.333,1.0,1.0,1.0,0.0,,12.667
Comb_Rules_SpecifyEx_T0_247684,claude-opus-4-6,1,5.667,14.333,42.0,2.667,7.6,16.0,5.053,2.943,62.0,63.0,1.0,1.0,1.0,0.0,,20.0
Comb_Rules_SpecifyEx_T0_247684,claude-sonnet-4-6,1,7.667,26.333,42.0,1.333,5.557,11.667,3.55,2.97,76.0,77.0,1.0,1.0,1.0,0.0,,32.0
Comb_Rules_SpecifyEx_T0_247684,gpt-5.4-2026-03-05,1,5.0,9.0,27.667,14.0,15.223,19.0,1.617,2.52,48.333,49.333,0.992,1.0,0.996,0.0,,
Comb_Rules_SpecifyEx_T0_247684,gpt-5.4-mini-2026-03-17,1,8.667,0.0,42.0,0.0,4.863,18.667,6.717,2.0,50.667,51.667,1.0,1.0,1.0,0.0,,13.667
Comb_Rules_SpecifyEx_T0_247684,gpt-5.4-nano-2026-03-17,1,8.333,16.667,27.667,0.0,3.953,14.667,5.337,1.333,48.667,49.667,0.667,0.667,0.667,0.0,,
Comb_Rules_SpecifyEx_T0_247684,models/gemini-2.5-flash,1,4.667,9.0,34.333,3.333,7.25,14.0,4.5,3.0,48.0,49.0,0.952,1.0,0.976,0.0,,16.333
Comb_Rules_SpecifyEx_T0_247684,models/gemini-2.5-flash-lite,1,6.0,11.0,42.0,0.0,7.0,17.0,6.48,3.0,59.0,60.0,1.0,1.0,1.0,0.0,,3.0
Comb_Rules_SpecifyEx_T0_247684,models/gemini-2.5-pro,1,5.333,5.333,40.0,3.0,7.557,16.333,5.2,2.68,50.667,51.667,0.992,0.985,0.988,0.667,,8.333
